Domain,Owner
joe-platform-br1-dom,kganga
joe-platform-mr2-dom,kganga
joe-ib-combo-dom,kganga
joe-platform-br2-dom,kganga
joe-ib-all-dom,kganga
jasmine-l3,kganga
jasmine-drag1-domain,kganga
jasmine-mr-drag1-domain,kganga
jasmine-reg10,kganga
fixx-platform-mr2,kganga
FIXX_Platform_Protocol,kganga
FIXX_Protocol_BR1,kganga
fixx-protocol-mr1,kganga
fixx-protocol-mr3,kganga
Tsunami_Protocol_MR1,kganga
Tsunami-Platform-MR1,kganga
Kona-Platform-MR1,kganga
Tsunami_Platform_BR3,kganga
java-mr,kganga
Tsunami_Protocol_BR1,kganga
Tsunami_Protocol_BR2,kganga
Javastaging,kganga
Java_Platform_BR1,kganga
Java_Platform_BR5,kganga
chn-epbg-javavc-mr,kganga
Java_Platform_BR3,kganga
chn-epbg-java2-mr,kganga
Java_Platform_BR2-dom,kganga
Java_Platform_BR4,kganga
jasmine-mr-reg2,kganga
jasmine-mr-reg4,kganga
jasmine-mr-reg5,kganga
jasmine-mr-l3,kganga
jasmine-mr-reg1,kganga
jasmine-reg1,kganga
jasmine-reg8,kganga
jasmine-reg7,kganga
jasmine-reg2,kganga
chn-epbg-caffeine2-mr,kganga
chn-epbg-caffeine1-mr,kganga
chn-epbg-caffeine4-mr,kganga
dcbg-rod-chelsea-b,kganga
dcbg-rod-chelsea-d,kganga
dcbg-rod-chelsea-e,kganga
dcbg-rod-chelsea-f,kganga
bng-dcbg-rod-chelsea-h,kganga
dcbg-st-blr-wa3,kganga
rbu-reg-blr-atlas2-irtb,PFE-RIAD
rbu-reg-blr-hyperion-irtb,PFE-RIAD
rbu-reg-blr-neo_as-irtb,PFE-RIAD
rbu-reg-blr-rodnik,PFE-RIAD
rbu-reg-svl-hyperion,PFE-RIAD
rbu-reg-wf-atlas-l2,PFE-RIAD
rbu-reg-wf-atlas-rtb1,PFE-RIAD
rbu-reg-wf-bellini,PFE-RIAD
rbu-reg-wf-calypso-rtb,PFE-RIAD
rbu-reg-wf-harmonia,PFE-RIAD
rbu-reg-wf-neo2-rtb,PFE-RIAD
rpt-reg-geoDC-hyperion-rtb,PFE-RIAD
rpt-reg-geoDC-hyperion2-rtb,PFE-RIAD
rpt-reg-geoDC-ptx3k-rtb1,PFE-RIAD
rbu-reg-blr-atlas3-irtb,PFE-RIAD
rbu-reg-svl-hyperion2-rtb,PFE-RIAD
rbu-reg-wf-hermes-rtb,PFE-RIAD
rbu-reg-blr-plat-vm3,kgnana
rbu-reg-blr-plat-vm4,kgnana
rbu-reg-svl-riptide,dboppanna
rbu-reg-svl-stout-rtb4,rvsadasiva
rbu-reg-svl-tiny,msheriff
qpod7-bbe-regression-pt,rbisht
rbu-reg-hcl-mx104,mkusuma
rbu-reg-hcl-wind,vamshikp
rpt-reg-blr-mtrebbe,smurugai¾
rbu-reg-svl-hypermode1,komalkc
iec-el-trio-reg,madhansp
iec-el-trio-reg10,madhansp
iec-el-trio-reg11,madhansp
iec-el-trio-reg12,madhansp
iec-el-trio-reg14,madhansp
iec-el-trio-reg15,madhansp
iec-el-trio-reg16,madhansp
iec-el-trio-reg17,madhansp
iec-el-trio-reg19,madhansp
iec-el-trio-reg2,madhansp
iec-el-trio-reg20,madhansp
iec-el-trio-reg4,madhansp
iec-el-trio-reg6,madhansp
iec-el-trio-reg7,madhansp
iec-el-trio-reg8,madhansp
rbu-reg-svl-cbu-sangria1,devipm
rbu-reg-wf-rpd-evo-rtb,PFT
rpd-reg-blr-vrr01-dt,abhinaya
rpd-reg-blr-vrr02-dt,abhinaya
rpd-reg-blr-vrr03-dt,abhinaya
rpt-reg-rpd-vmx-master-dt,dkpoornima
rpt-reg-rpd-vmx-master1-dt,dkpoornima
rpt-reg-rpd-vmx-master2-dt,dkpoornima
rpt-reg-rpd-vmx-master3-dt,dkpoornima
rpt-reg-rpd-vmx-master4-dt,dkpoornima
rpt-reg-rpd-vmx-vixia-dt1,sgadi
rpt-reg-rpd-vmx-vixia1-dt,sgadi
rpt-reg-rpd-vmx-vixia2-dt,sgadi
rpt-reg-rpd-vspirent-dt,sgadi
rpt-reg-rpd-vspirent1-dt,sgadi
rbu-reg-svl-gvpn,jhansi
rbu-reg-svl-svcsdg,skshah
rbu-reg-svl-cbu-sangria1a,devipm
tot-mx-domain,PFE-RIAD
tot-wf-vpls,PFE-RIAD
iec-bt-pod1-domain19,ssarany
iec-bt-pod1-domain20,skeer
iec-en-pod2-domain1,arula
iec-en-pod2-domain10,knpavan
iec-en-pod2-domain2,nsrivat
iec-en-pod2-domain3,kmeka
iec-en-pod2-domain4,cmohanraj
iec-en-pod2-domain5,mshruthi
iec-en-pod2-domain6,mmanasa
iec-en-pod2-domain8,nprathima
iec-en-pod2-domain9,cmvijay
iec-en-pod4-domain1,rksathish
je-svl-domain,ssarany
rbu-reg-chn-asp2,DELETE
rbu-reg-chn-irtb6,DELETE
rbu-reg-chn-ind,DELETE
rbu-reg-chn-txp,DELETE
rbu-reg-blr-cgn1,DELETE
rbu-reg-hcl-ce4,DELETE
rbu-reg-hcl-central,DELETE
rbu-reg-hcl-enhance,DELETE
rbu-reg-hcl-madras,DELETE
rbu-reg-hcl-metro,DELETE
